,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,white
0,0.3421052631578947,0.13999999999999996,0.29518072289156627,0.09969325153374232,0.054817275747508304,0.07291666666666666,0.271889400921659,0.14021215043394264,0.3255813953488369,0.1098265895953757,0.4516129032258067,1.0
1,0.22807017543859653,0.13333333333333336,0.25903614457831325,0.10736196319018404,0.03488372093023256,0.10069444444444443,0.23963133640552997,0.08698167791706624,0.2790697674418601,0.21387283236994217,0.7258064516129035,1.0
2,0.38596491228070173,0.4999999999999999,0.0,0.03374233128834356,0.14285714285714288,0.05555555555555555,0.08525345622119816,0.21388621022179422,0.4728682170542635,0.21965317919075142,0.3870967741935485,0.0
3,0.1842105263157895,0.05333333333333333,0.13253012048192772,0.010736196319018405,0.061461794019933555,0.059027777777777776,0.1382488479262673,0.11456123432979837,0.6899224806201549,0.19075144508670525,0.370967741935484,1.0
4,0.2543859649122807,0.12666666666666665,0.14457831325301204,0.18404907975460122,0.05813953488372092,0.16319444444444445,0.25806451612903225,0.19537126325940335,0.24806201550387552,0.1965317919075145,0.3225806451612905,1.0
5,0.17543859649122806,0.1833333333333333,0.21084337349397592,0.02147239263803681,0.061461794019933555,0.10416666666666666,0.20506912442396313,0.021022179363548332,0.2635658914728678,0.13872832369942198,0.903225806451613,1.0
6,0.2192982456140351,0.3733333333333333,0.1385542168674699,0.023006134969325156,0.11794019933554818,0.03472222222222222,0.26036866359447003,0.1591128254580525,0.4961240310077515,0.2774566473988439,0.467741935483871,0.0
7,0.24561403508771928,0.18666666666666665,0.1927710843373494,0.14493865030674846,0.059800664451827246,0.12499999999999999,0.28801843317972353,0.12324011571841709,0.2868217054263562,0.06358381502890173,0.596774193548387,1.0
8,0.3157894736842105,0.08,0.12048192771084339,0.012269938650306747,0.04485049833887043,0.08333333333333333,0.1774193548387097,0.07232401157184043,0.24031007751937938,0.13872832369942198,0.596774193548387,1.0
9,0.4298245614035088,0.13999999999999996,0.1987951807228916,0.02223926380368098,0.08970099667774087,0.041666666666666664,0.04838709677419355,0.154869816779172,0.4186046511627901,0.35838150289017345,0.596774193548387,0.0
